#mx	my	mz	ax	ay	az	gx	gy	gz	ms
-356	-292	0482	0001	-131	-206	00151	00647	00251	921
-356	-292	0482	-017	-134	-186	-0042	01087	00132	937
-356	-292	0482	0041	-138	-172	-0163	01417	00064	954
-345	-360	0457	0040	-136	-170	-0075	01458	00041	972
-345	-360	0457	0110	-135	-181	00117	01440	00175	990
-345	-360	0457	0277	-170	-331	00075	00889	-0056	1006
-345	-360	0457	-055	-104	-133	-0167	00342	-0380	1020
-338	-390	0447	-033	-136	-224	-0099	00758	-0416	1037
-338	-390	0447	-134	-193	-346	-0517	02036	00209	1054
-338	-390	0447	0250	-183	-084	-0942	02455	00500	1071
-338	-390	0447	0169	-170	-317	-0572	02720	-0102	1086
-304	-501	0362	0059	-151	-230	-0774	02908	-0526	1102
-304	-501	0362	-074	-174	-228	-0900	03566	-0733	1123
-304	-501	0362	0146	-129	-166	-1168	04687	-0649	1138
-304	-501	0362	0158	-132	-147	-1186	05247	-0760	1154
-230	-664	0147	0206	-124	-132	-1119	05954	-1113	1171
-230	-664	0147	0199	-183	-185	-0983	06578	-1638	1188
-230	-664	0147	0192	-172	-203	-1041	07131	-2107	1203
-230	-664	0147	-003	-102	-096	-1287	07519	-2488	1218
-118	-685	-237	0177	0097	0261	-1796	07639	-2159	1235
-118	-685	-237	0326	0092	0246	-1311	07154	-1789	1253
-118	-685	-237	0196	-044	-019	-0126	06543	-1827	1270
-118	-685	-237	0227	0038	0071	-0055	05960	-1546	1288
-065	-530	-480	0316	0043	0237	-0164	04695	-1142	1306
-065	-530	-480	0316	0020	0002	00002	03532	-1023	1321
-065	-530	-480	0313	0029	0178	00193	02850	-0985	1337
-065	-530	-480	0293	0017	0153	00436	02525	-1147	1354
-006	-458	-549	0228	0026	0140	00726	02438	-1326	1372
-006	-458	-549	0176	0028	0089	00833	02239	-1299	1387
-006	-458	-549	0158	0038	0128	00637	01967	-1102	1406
-006	-458	-549	0188	0053	0203	00166	01164	-0566	1422
0010	-414	-579	0250	0059	0262	-0122	00390	-0175	1438
0010	-414	-579	0302	0037	0246	-0079	-0028	-0080	1455
0010	-414	-579	0306	-005	0201	00120	-0096	-0162	1471
0010	-414	-579	0248	0029	0158	00286	-0097	-0317	1486
0010	-414	-579	0191	0038	0178	00347	-0213	-0353	1503
0017	-424	-570	0185	0029	0133	00405	-0253	-0283	1519
0017	-424	-570	0249	0030	0123	00384	-0219	-0162	1536
0017	-424	-570	0231	0028	0184	00335	-0418	-0107	1554
0017	-424	-570	0326	0028	0174	00273	-0924	00050	1570
0041	-471	-553	0371	0028	0127	00102	-2182	00313	1588
0041	-471	-553	0281	0072	0205	-0434	-4403	00911	1604
0041	-471	-553	0299	0050	0210	-0728	-6967	01744	1620
